"shrid2","y_05k_raw","y_10k_raw","y_cons_raw","lat","lon","d_name","sd_name","clusters","wave","tot_p","tot_m","tot_f","urban","y_05k","y_10k","y_cons","D"
"11-28-532-04305-568945",0.016877636,0,18871.625,19.855,78.315,"Adilabad","Tamsi","TAMSI ADILABAD","Holdout",2123,0.486104569,0.513895431,0,0,1,1,NA
"11-28-532-04305-568946",0,0,17550.08984375,19.905,78.315,"Adilabad","Tamsi","TAMSI ADILABAD","Holdout",506,0.482213439,0.517786561,0,1,1,1,NA
"11-28-532-04305-568947",0.063583814,0.005780347,15545.0126953125,19.875,78.335,"Adilabad","Tamsi","TAMSI ADILABAD","Holdout",756,0.507936508,0.492063492,0,0,0,1,NA
"11-28-532-04305-568948",0.084033616,0.008403362,18115.791015625,19.875,78.375,"Adilabad","Tamsi","TAMSI ADILABAD","Holdout",548,0.476277372,0.523722628,0,0,0,1,NA
"11-28-532-04305-568949",0.063953489,0.008720931,18064.283203125,19.835,78.365,"Adilabad","Tamsi","TAMSI ADILABAD","Holdout",1503,0.510312708,0.489687292,0,0,0,1,NA
"11-28-532-04305-568950",0.128472224,0.048611112,22367.123046875,19.825,78.405,"Adilabad","Tamsi","TAMSI ADILABAD","Holdout",1085,0.517050691,0.482949309,0,0,0,0,NA
"11-28-532-04305-568951",0.355932206,0.309322029,26285.728515625,19.805,78.395,"Adilabad","Tamsi","TAMSI ADILABAD","Holdout",1009,0.519326065,0.480673935,0,0,0,0,NA
"11-28-532-04305-568952",0.320987642,0.012345679,17518.80078125,19.795,78.385,"Adilabad","Tamsi","TAMSI ADILABAD","Holdout",352,0.485795455,0.514204545,0,0,0,1,NA
"11-28-532-04305-568953",0.380952388,0,19559.1015625,19.795,78.405,"Adilabad","Tamsi","TAMSI ADILABAD","Holdout",442,0.488687783,0.511312217,0,0,1,0,NA
"11-28-532-04305-568954",0.212121218,0.030303031,16555.34765625,19.795,78.425,"Adilabad","Tamsi","TAMSI ADILABAD","Holdout",1029,0.516034985,0.483965015,0,0,0,1,NA
"11-28-532-04305-568955",0,0,20900.546875,19.795,78.445,"Adilabad","Tamsi","TAMSI ADILABAD","Holdout",161,0.49689441,0.50310559,0,1,1,0,NA
"11-28-532-04305-568956",0.006493506,0.006493506,18715.734375,19.795,78.465,"Adilabad","Tamsi","TAMSI ADILABAD","Holdout",637,0.491365777,0.508634223,0,0,0,1,NA
"11-28-532-04305-568957",0.039634146,0.00304878,20361.166015625,19.755,78.455,"Adilabad","Tamsi","TAMSI ADILABAD","Holdout",1410,0.475886525,0.524113475,0,0,0,0,NA
"11-28-532-04305-568958",0.023255814,0.023255814,19337.76171875,19.755,78.425,"Adilabad","Tamsi","TAMSI ADILABAD","Holdout",377,0.49071618,0.50928382,0,0,0,0,NA
"11-28-532-04305-568959",0.3125,0.005681818,20945.361328125,19.775,78.415,"Adilabad","Tamsi","TAMSI ADILABAD","Holdout",722,0.51800554,0.48199446,0,0,0,0,NA
"11-28-532-04305-568960",0.385542154,0,22735.375,19.785,78.385,"Adilabad","Tamsi","TAMSI ADILABAD","Holdout",1214,0.495881384,0.504118616,0,0,1,0,NA
