"S","Y","H","consumption"
"synthetic",0.72,1.32415456922741,9.84541475018216
"synthetic",0.81,1.49984374383337,9.7728143481829
"synthetic",0.85,1.8845650508831,9.65149513917393
"synthetic",0.76,1.226284109699,9.80453926870898
"synthetic",0.79,1.57266099175334,9.80169196403033
"synthetic",0.08,-0.822545391285329,10.0153474385637
"synthetic",0.24,-0.325809428950171,10.176781428891
"synthetic",0.77,1.49592925888634,9.77102991358888
"synthetic",0.13,-0.729322815615106,9.88119601014636
"synthetic",0.81,1.45101249465026,9.71446444983635
"synthetic",0.27,-0.237610800535358,9.94753060387851
"synthetic",0.82,1.34310073114713,9.83711985948317
"synthetic",0.3,-0.13555928941329,9.92138473894724
"synthetic",0.35,0.00886681281187776,9.86981502904959
"synthetic",0.22,-0.479427314587451,9.94967248451546
"synthetic",0.12,-0.719686699548113,10.031677360515
"synthetic",0.26,-0.267987021528291,9.97199417300972
"synthetic",0.86,1.55779327992891,9.84560971637104
"synthetic",0.32,-0.0819612964050017,9.94676992409497
"synthetic",0.29,-0.174579703982769,10.0380343230447
"synthetic",0.92,1.6695835536679,9.80015330292649
"synthetic",0.14,-0.650150627096267,10.027410812953
"synthetic",0.23,-0.33298719695381,9.9158347417653
"synthetic",0.93,1.75331357285919,9.77817629965605
"synthetic",0.82,1.42291784253183,9.72746587538757
"synthetic",0.21,-0.396926055395826,9.89179820852258
"synthetic",0.19,-0.46500810317797,9.99648531288894
"synthetic",0.15,-0.567955845073912,9.97541505907881
"synthetic",0.15,-0.587165157564376,10.1321481227008
"synthetic",0.76,1.36553990919553,9.84018035634009
"synthetic",0.1,-0.710020772407656,9.94981495818115
"synthetic",0.23,-0.330043567807785,10.0572548162349
"synthetic",0.23,-0.33491425640103,11.5466580388283
"synthetic",0.3,-0.14219336001767,10.5363158384661
"synthetic",0.1,-0.915043051748989,9.96061498173807
"synthetic",0.08,-0.806624827206926,10.0433155593051
"synthetic",0.15,-0.680931520706281,9.97780648876349
"synthetic",0.09,-0.981946713191364,9.99276054657313
"synthetic",0.18,-0.515660827706371,9.88224725752517
"synthetic",0.21,-0.387130874591609,9.87050351489112
"synthetic",0.19,-0.531638671349231,10.1055384917564
"synthetic",0.08,-1.02291531231064,9.93390517126541
"synthetic",0.04,-1.13801011628903,9.98010954242194
"synthetic",0.09,-0.822338905813625,10.1709102903895
"synthetic",0.03,-1.01635119501942,9.89812220822128
"synthetic",0.88,1.70752581004478,9.81714246630959
"synthetic",0.79,1.18460983325893,9.80023711378687
"synthetic",0.21,-0.469700447591714,10.1406313908653
"synthetic",0.17,-0.644741775605331,10.0058079047015
"synthetic",0.73,1.28085084679508,9.80369354632719
"synthetic",0.05,-0.898864902187361,9.98821207186725
"synthetic",0.21,-0.430815309477444,10.1351071895032
"synthetic",0.65,0.981581995646866,9.68751815649084
"synthetic",0.11,-0.987321460279399,10.2228580507952
"synthetic",0.64,1.07730803915145,9.3960953994028
"synthetic",0.21,-0.467625574559514,9.85545691918606
"synthetic",0.14,-0.75426551458863,9.99688592731209
"synthetic",0.17,-0.587843860627438,10.2521503874229
"synthetic",0.14,-0.75426551458863,10.0221975022249
"synthetic",0.92,2.02106639921472,9.69914347348892
"synthetic",0.77,1.80845747129004,9.49260020224711
"synthetic",0.85,1.79692582133986,9.83385556083973
"synthetic",0.92,2.14376289752933,9.68606351445678
"synthetic",0.2,-0.466212103122099,10.0242573559964
"synthetic",0.85,1.81808472243985,9.52672420665457
"synthetic",0.76,1.35080758751628,9.73590931596969
"synthetic",0.17,-0.572593083145468,9.91455875482344
"synthetic",0.18,-0.534302070096457,10.1742507171209
"synthetic",0.75,1.21138717997005,9.79547606521839
"synthetic",0.16,-0.521379637293629,9.90081993510652
"synthetic",0.17,-0.49785600747804,9.85422129360626
"synthetic",0.08,-0.954619488724788,9.8763635269828
"synthetic",0.71,1.04023044078775,9.6472238992534
"synthetic",0.09,-0.822756045701844,9.96722478837489
"synthetic",0.7,1.03990923493189,9.84503277948409
"synthetic",0.8,1.5134553798622,9.81608366244376
"synthetic",0.1,-0.775630444308976,9.92020580948258
"synthetic",0.08,-0.907557474150621,10.0078400896511
"synthetic",0.7,1.14342474020166,9.81669064118346
"synthetic",0.3,-0.134089323060935,10.0414703996725
"synthetic",0.05,-1.1503265146609,10.0030391686111
"synthetic",0.1,-0.716607798214821,9.98619827241693
"synthetic",0.88,1.74264652868389,9.78413353255325
"synthetic",0.1,-0.977072551542542,10.6218159839053
"synthetic",0.17,-0.593522701885744,9.92176941621414
"synthetic",0.75,1.20100786799617,9.62209335220859
"synthetic",0.74,1.31410293785299,9.837893578771
"synthetic",0.15,-0.682303980682445,9.91722527594823
"synthetic",0.21,-0.468427646749854,9.91059213790818
"synthetic",0.11,-0.855559989583427,10.0034213486666
"synthetic",0.15,-0.613230061336733,10.0570328035927
"synthetic",0.11,-0.803773694379806,9.93677942295125
"synthetic",0.09,-0.855228191168462,10.1233934464143
"synthetic",0.08,-0.8709075224927,9.92389661356126
"synthetic",0.07,-0.776751334963158,10.1054480851897
"synthetic",0.09,-0.785121368801792,9.97374995636743
"synthetic",0.15,-0.797353990162795,10.0717031693908
"synthetic",0.05,-1.11105866723359,10.101507267437
"synthetic",0.11,-0.866303889334536,10.0568902406337
"synthetic",0.13,-0.7998163185936,10.0592479572661
"synthetic",0.12,-0.748351069753212,9.90801323367474
"synthetic",0.24,-0.339715311630506,10.0714364590825
"synthetic",0.21,-0.446330731262158,9.99411544519337
"synthetic",0.76,1.30838852889706,9.74221130187983
"synthetic",0.11,-0.874451895594793,9.88295096455044
