"S","Y","H"
"Ssynth",0.76,1.62066145722011
"Ssynth",0.81,1.46917688689695
"Ssynth",0.76,1.63747332983257
"Ssynth",0.81,1.29845970261281
"Ssynth",0.73,1.23997143166734
"Ssynth",0.08,-0.985150836351021
"Ssynth",0.18,-0.532462368391703
"Ssynth",0.75,1.66375651955717
"Ssynth",0.08,-0.995737618203759
"Ssynth",0.8,2.07379003975831
"Ssynth",0.26,-0.27220521748942
"Ssynth",0.73,1.18026821271122
"Ssynth",0.28,-0.220120630695002
"Ssynth",0.27,-0.256261650344813
"Ssynth",0.05,-1.10700676572711
"Ssynth",0.02,-1.10207126556308
"Ssynth",0.26,-0.27220521748942
"Ssynth",0.82,1.37610544190672
"Ssynth",0.3,-0.150197179768223
"Ssynth",0.19,-0.456543216033661
"Ssynth",0.93,1.69309544966192
"Ssynth",0.22,-0.369431444862651
"Ssynth",0.25,-0.292416783769422
"Ssynth",0.92,1.78286351612395
"Ssynth",0.85,1.73500299991491
"Ssynth",0.22,-0.394274462851231
"Ssynth",0.18,-0.516404961924168
"Ssynth",0.21,-0.399670148338874
"Ssynth",0.22,-0.410477915000357
"Ssynth",0.88,1.9204690002077
"Ssynth",0.19,-0.465077207687632
"Ssynth",0.25,-0.287625658345477
"Ssynth",0.28,-0.214057663819623
"Ssynth",0.24,-0.364275284456641
"Ssynth",0.12,-0.787315926943883
"Ssynth",0.11,-0.776311932080094
"Ssynth",0.14,-0.710937541034581
"Ssynth",0.08,-1.14124096933334
"Ssynth",0.08,-0.763532401700187
"Ssynth",0.19,-0.455413171582639
"Ssynth",0.2,-0.466605542322791
"Ssynth",0.11,-0.954776515254094
"Ssynth",0.02,-1.20800131348742
"Ssynth",0.1,-0.801780457611057
"Ssynth",0.03,-0.944946334455891
"Ssynth",0.78,1.35690510463239
"Ssynth",0.78,1.06572831716511
"Ssynth",0.09,-0.876348808544603
"Ssynth",0.06,-1.14300279467486
"Ssynth",0.75,1.5050868565741
"Ssynth",0.07,-0.852580050488277
"Ssynth",0.13,-0.752226558533142
"Ssynth",0.64,0.969329589588803
"Ssynth",0.03,-1.32518022041581
"Ssynth",0.74,1.46796833961696
"Ssynth",0.26,-0.336648882588189
"Ssynth",0.12,-0.872092990392626
"Ssynth",0.21,-0.534326970135562
"Ssynth",0.07,-1.01047749162506
"Ssynth",0.93,2.27707801803325
"Ssynth",0.71,1.74083007058557
"Ssynth",0.86,2.10755880119785
"Ssynth",0.91,2.4019484250357
"Ssynth",0.18,-0.69119021537993
"Ssynth",0.8,1.77287322890292
"Ssynth",0.82,2.0217333549991
"Ssynth",0.18,-0.506391473883607
"Ssynth",0.17,-0.619243857040982
"Ssynth",0.8,1.42164518583324
"Ssynth",0.22,-0.333644947528026
"Ssynth",0.13,-0.627242184419173
"Ssynth",0.13,-0.759992396979297
"Ssynth",0.78,1.26073873940063
"Ssynth",0.09,-0.834310780121007
"Ssynth",0.75,1.17164879354339
"Ssynth",0.85,1.73500299991491
"Ssynth",0.1,-0.840502454519947
"Ssynth",0.08,-0.944447038786475
"Ssynth",0.74,1.61874591067579
"Ssynth",0.2,-0.435548491822107
"Ssynth",0.02,-1.13446981594383
"Ssynth",0.14,-0.585227652093323
"Ssynth",0.72,1.3793073746095
"Ssynth",0.14,-0.746294071273309
"Ssynth",0.09,-0.918148837441829
"Ssynth",0.83,1.46065295560806
"Ssynth",0.82,1.94473074073604
"Ssynth",0.15,-0.791632111128681
"Ssynth",0.3,-0.162769910185309
"Ssynth",0.15,-0.781074015964969
"Ssynth",0.15,-0.581304964307671
"Ssynth",0.17,-0.613655330493443
"Ssynth",0.17,-0.546947162988056
"Ssynth",0.13,-0.698637261243998
"Ssynth",0.13,-0.669154294057021
"Ssynth",0.13,-0.679869891539316
"Ssynth",0.14,-0.870426464941513
"Ssynth",0.04,-1.01485752371359
"Ssynth",0.19,-0.515312131289737
"Ssynth",0.09,-0.899962425058141
