"shrid2","lat","lon","d_name","sd_name","y_cons","y_05k","y_10k","wave","D","R_PC1","R_PC1_scaled"
"11-28-532-04305-568945",19.855,78.315,"Adilabad","Tamsi",1,0,1,"Holdout",NA,-59.3966029528346,-1.22728382916452
"11-28-532-04305-568946",19.905,78.315,"Adilabad","Tamsi",1,1,1,"Holdout",NA,53.1687449462371,1.0986005536597
"11-28-532-04305-568947",19.875,78.335,"Adilabad","Tamsi",1,0,0,"Holdout",NA,11.8994883417874,0.245873482508825
"11-28-532-04305-568948",19.875,78.375,"Adilabad","Tamsi",1,0,0,"Holdout",NA,35.8401988348425,0.740549025993481
"11-28-532-04305-568949",19.835,78.365,"Adilabad","Tamsi",1,0,0,"Holdout",NA,-17.7755225247032,-0.367287189249547
"11-28-532-04305-568950",19.825,78.405,"Adilabad","Tamsi",0,0,0,"Holdout",NA,26.9410339796206,0.556669804339075
"11-28-532-04305-568951",19.805,78.395,"Adilabad","Tamsi",0,0,0,"Holdout",NA,24.6477409079172,0.509284577532896
"11-28-532-04305-568952",19.795,78.385,"Adilabad","Tamsi",1,0,0,"Holdout",NA,-10.2153253828039,-0.211074422251462
"11-28-532-04305-568953",19.795,78.405,"Adilabad","Tamsi",0,0,1,"Holdout",NA,-11.6420517646468,-0.240554192642855
"11-28-532-04305-568954",19.795,78.425,"Adilabad","Tamsi",1,0,0,"Holdout",NA,42.8495628786186,0.885380189999352
"11-28-532-04305-568955",19.795,78.445,"Adilabad","Tamsi",0,1,1,"Holdout",NA,33.0339891797346,0.682565647151191
"11-28-532-04305-568956",19.795,78.465,"Adilabad","Tamsi",1,0,0,"Holdout",NA,21.1830713261145,0.437695753597609
"11-28-532-04305-568957",19.755,78.455,"Adilabad","Tamsi",0,0,0,"Holdout",NA,-15.0865315798041,-0.311725845007939
"11-28-532-04305-568958",19.755,78.425,"Adilabad","Tamsi",0,0,0,"Holdout",NA,1.16964719580311,0.02416786512819
"11-28-532-04305-568959",19.775,78.415,"Adilabad","Tamsi",0,0,0,"Holdout",NA,-2.15138936785416,-0.0444531378924239
"11-28-532-04305-568960",19.785,78.385,"Adilabad","Tamsi",0,0,1,"Holdout",NA,-39.0458956499515,-0.806786818506828
"11-28-532-04305-568961",19.755,78.375,"Adilabad","Tamsi",0,0,0,"Holdout",NA,-30.7991637448312,-0.636388509387262
"11-28-532-04305-568962",19.725,78.355,"Adilabad","Tamsi",1,0,0,"Holdout",NA,27.4742374510459,0.567687134718294
"11-28-532-04305-568963",19.715,78.385,"Adilabad","Tamsi",0,0,1,"Holdout",NA,-41.5820611433687,-0.859190402944606
"11-28-532-04305-568964",19.725,78.415,"Adilabad","Tamsi",0,0,1,"Holdout",NA,-14.5468383407183,-0.300574419638288
"11-28-532-04305-568965",19.745,78.415,"Adilabad","Tamsi",1,0,0,"Holdout",NA,46.8571250633454,0.96818654624151
"11-28-532-04305-568966",19.725,78.455,"Adilabad","Tamsi",0,0,0,"Holdout",NA,21.7124074449749,0.448633174705445
"11-28-532-04305-568967",19.755,78.475,"Adilabad","Tamsi",0,0,0,"Holdout",NA,19.4396347755868,0.401671951237462
"11-28-532-04305-568968",19.745,78.495,"Adilabad","Tamsi",1,0,0,"Holdout",NA,13.4190365610861,0.277271186493039
"11-28-532-04305-568969",19.725,78.485,"Adilabad","Tamsi",1,0,1,"Holdout",NA,-11.8896555011365,-0.245670311187139
"11-28-532-04305-568970",19.715,78.465,"Adilabad","Tamsi",0,0,1,"Holdout",NA,36.7900456197142,0.760175259503547
"11-28-532-04305-568971",19.715,78.445,"Adilabad","Tamsi",0,0,0,"Holdout",NA,35.4527462402163,0.732543276837588
"11-28-532-04305-568972",19.695,78.415,"Adilabad","Tamsi",0,0,0,"Holdout",NA,20.0541311049994,0.414368997376076
"11-28-532-04305-568973",19.695,78.445,"Adilabad","Tamsi",0,1,1,"Holdout",NA,10.418568452981,0.215273937392356
"11-28-532-04305-568974",19.685,78.455,"Adilabad","Tamsi",1,1,1,"Holdout",NA,-11.7232784271354,-0.242232540636063
"11-28-532-04305-568975",19.665,78.475,"Adilabad","Tamsi",0,0,0,"Holdout",NA,50.1119907226982,1.03544029125785
"11-28-532-04306-568976",19.725,78.515,"Adilabad","Adilabad",0,0,0,"Holdout",NA,8.44736467169732,0.174543888795495
"11-28-532-04306-568979",19.705,78.495,"Adilabad","Adilabad",0,0,0,"Holdout",NA,0.957044223519036,0.0197749507703815
"11-28-532-04306-568981",19.695,78.495,"Adilabad","Adilabad",0,0,0,"Holdout",NA,-22.5833169357864,-0.466628364356065
"11-28-532-04306-568982",19.705,78.525,"Adilabad","Adilabad",0,0,0,"Holdout",NA,0.943209628627016,0.0194890930992366
"11-28-532-04306-568983",19.725,78.545,"Adilabad","Adilabad",0,0,0,"Holdout",NA,26.5558029950325,0.548709959257471
