"sample","Y_var","estimator","estimate","se","ci_lower","ci_upper"
"full","Ycons","rsv",0.499961508905655,0.0601352988115837,0.401047744547611,0.598875273263699
"full","Ycons","naive",0.409603849514041,0.0272595819766048,0.364765827230642,0.45444187179744
"full","Ylowinc","rsv",1.01015946743932,0.115573093918525,0.820058644729432,1.20026029014921
"full","Ylowinc","naive",0.332652171087569,0.0224008377868442,0.295806071807126,0.369498270368011
"full","Ymidinc","rsv",0.452985728438832,0.04929402777914,0.371904268059266,0.534067188818397
"full","Ymidinc","naive",0.356029851482927,0.0152287292997266,0.33098082086041,0.381078882105445
"nospillover","Ycons","rsv",0.234897511037565,0.0810461977171069,0.101588378771956,0.368206643303175
"nospillover","Ycons","naive",0.411858992395732,0.0291576269973468,0.363898963875848,0.459819020915616
"nospillover","Ylowinc","rsv",0.506776952384992,0.171546534851112,0.224608012344183,0.7889458924258
"nospillover","Ylowinc","naive",0.331830299068675,0.0233167653086366,0.293477633081988,0.370182965055362
"nospillover","Ymidinc","rsv",0.214527002202373,0.0707637580121478,0.0981309781793749,0.33092302622537
"nospillover","Ymidinc","naive",0.357561461847343,0.0164842338631823,0.330447309989971,0.384675613704714
