"outcome","tau","n_e","n_o","normalized_bias","coverage","rmse","avg_bias","sd_est","avg_se","n_sims","prop_na","estimator"
"Ycons",0,3000,1000,-0.00399181668582086,0.95,0.00796939720268346,-3.18439786826032e-05,0.00797731488916179,0.0077875958047069,500,0,"Common practice"
"Ycons",0.05,3000,1000,-4.67545035533782,0.002,0.0399550020576243,-0.0390730264067502,0.0083570615528281,0.00790620214518426,500,0,"Common practice"
"Ycons",0.1,3000,1000,-8.5239660492044,0,0.0778149072787166,-0.0772859338182645,0.00906689836305461,0.00802173226241289,500,0,"Common practice"
"Ycons",0.15,3000,1000,-14.6020590362362,0,0.1163017529574,-0.116030523225064,0.00794617546314011,0.00813012544688103,500,0,"Common practice"
"Ycons",0.2,3000,1000,-18.3550467763705,0,0.154294984304517,-0.154066961748961,0.00839371120248522,0.00821649597892565,500,0,"Common practice"
"Ycons",0,3000,1500,-0.0392173616818618,0.958,0.00801019721234927,-0.000314211392207596,0.00801204820345985,0.00799949046780913,500,0,"Common practice"
"Ycons",0.05,3000,1500,-4.57785562475912,0.002,0.0388095015545161,-0.0379171589281807,0.0082827336718763,0.00811902076395747,500,0,"Common practice"
"Ycons",0.1,3000,1500,-8.35584431460101,0,0.074811254675241,-0.0742822479173259,0.0088898554258036,0.0082558150138218,500,0,"Common practice"
"Ycons",0.15,3000,1500,-13.9842084676043,0,0.11225069297849,-0.11196535774139,0.00800655668147169,0.00837175922252959,500,0,"Common practice"
"Ycons",0.2,3000,1500,-18.0410342117996,0,0.148179060995155,-0.147952405014626,0.00820088268098616,0.00843034666383921,500,0,"Common practice"
"Ycons",0,3000,500,-0.050535676460293,0.95,0.00783467853667691,-0.000395821181183159,0.00783250980115333,0.00762746293860892,500,0,"Common practice"
"Ycons",0.05,3000,500,-5.15427987941176,0,0.0414307934239281,-0.0406738602191713,0.0078912789314447,0.00772020316981728,500,0,"Common practice"
"Ycons",0.1,3000,500,-9.50541645581442,0,0.081224895933673,-0.0807799904851319,0.00849831155327436,0.00778862872069423,500,0,"Common practice"
"Ycons",0.15,3000,500,-15.5112268212118,0,0.121131424210843,-0.120880976800582,0.00779312804808425,0.00787375581338555,500,0,"Common practice"
"Ycons",0.2,3000,500,-20.7214440386187,0,0.160717974798609,-0.160531522089678,0.00774712041257812,0.00793239585523319,500,0,"Common practice"
"Ylowinc",0,3000,1000,0.0286726986684941,0.95,0.00462049227698694,0.000132560075449794,0.00462321586755461,0.00463100356430138,500,0,"Common practice"
"Ylowinc",0.05,3000,1000,-8.70627234625298,0,0.0419618441307753,-0.0416882997999125,0.00478830642345509,0.00477294302236942,500,0,"Common practice"
"Ylowinc",0.1,3000,1000,-16.3663746857373,0,0.0828753626398736,-0.0827214020776928,0.00505435098890786,0.00497824237352893,500,0,"Common practice"
"Ylowinc",0.15,3000,1000,-23.4420075720286,0,0.124319069719224,-0.124206335011806,0.00529845127940372,0.00512949553876066,500,0,"Common practice"
"Ylowinc",0.2,3000,1000,-28.0633375503479,0,0.16538279157618,-0.1652781029011,0.00588946708867319,0.00525807936014461,500,0,"Common practice"
"Ylowinc",0,3000,1500,-0.0532340879756582,0.95,0.00479147439033953,-0.000254963488417167,0.00478947790997662,0.00471113956685531,500,0,"Common practice"
"Ylowinc",0.05,3000,1500,-8.26385501716452,0,0.0405653389932627,-0.0402721404388132,0.00487328738889605,0.00493344013755844,500,0,"Common practice"
"Ylowinc",0.1,3000,1500,-14.5992577964144,0,0.079718206386114,-0.079532222800716,0.00544768945858669,0.00515231080023183,500,0,"Common practice"
"Ylowinc",0.15,3000,1500,-21.4268087903344,0,0.119303911524538,-0.119174452330385,0.0055619319468676,0.00537563546303076,500,0,"Common practice"
"Ylowinc",0.2,3000,1500,-26.6821540610335,0,0.158998450246413,-0.158887124566354,0.00595480875355533,0.00554181520170012,500,0,"Common practice"
"Ylowinc",0,3000,500,-0.023702161215642,0.956,0.00453830164743971,-0.000107644993066099,0.00454156868172258,0.00451846425717578,500,0,"Common practice"
"Ylowinc",0.05,3000,500,-9.63832242223474,0,0.043689689473173,-0.0434568833063624,0.00450876007282256,0.00463929340472196,500,0,"Common practice"
"Ylowinc",0.1,3000,500,-16.8678283490878,0,0.0869002088963368,-0.0867482023300114,0.00514281984228886,0.0047337296293219,500,0,"Common practice"
"Ylowinc",0.15,3000,500,-22.8757707231083,0,0.129923116024434,-0.129799403162042,0.00567409967223194,0.0048690744625951,500,0,"Common practice"
"Ylowinc",0.2,3000,500,-27.9409216236253,0,0.173270138745609,-0.173159495049863,0.0061973437162305,0.00494213958577325,500,0,"Common practice"
"Ymidinc",0,3000,1000,0.000499575155374651,0.956,0.00699328497719379,3.49716991246829e-06,0.00700028789431217,0.00709922077640703,500,0,"Common practice"
"Ymidinc",0.05,3000,1000,-5.4950282511194,0,0.0408310760390281,-0.0401725913305844,0.00731071606818414,0.00719178895797865,500,0,"Common practice"
"Ymidinc",0.1,3000,1000,-11.0315092418477,0,0.0807369750370679,-0.0804079401543519,0.00728893376160416,0.00724611427849641,500,0,"Common practice"
"Ymidinc",0.15,3000,1000,-15.3773183677428,0,0.120162739278915,-0.119909962553259,0.00779784613192346,0.00736202769378154,500,0,"Common practice"
