lon,lat,Y,S_e,S_o_02km,S_o_05km,S_o_10km,Y0,Y1,R0,R1
29.745,-0.005,0,0,0,0,0,1,0,0.868,0.132
29.795,-0.005,0,0,0,0,0,1,0,0.896,0.104
29.825,-0.005,0,0,0,0,0,1,0,0.978,0.022
29.845,-0.005,0,0,0,0,0,1,0,0.99,0.01
29.855,-0.005,0,0,0,0,0,1,0,0.95,0.05
29.875,-0.005,0,0,0,0,0,1,0,0.972,0.028
29.895,-0.005,0,0,0,0,0,1,0,0.932,0.068
29.955,-0.005,0,0,0,0,0,1,0,0.998,0.002
29.975,-0.005,0,0,0,0,0,1,0,0.996,0.004
29.765,-0.015,0,0,0,0,0,1,0,0.974,0.026
29.775,-0.015,0,0,0,0,0,1,0,0.884,0.116
29.785,-0.015,0,0,0,0,0,1,0,0.968,0.032
29.795,-0.015,0,0,0,0,0,1,0,0.966,0.034
29.805,-0.015,0,0,0,0,0,1,0,0.978,0.022
29.815,-0.015,0,0,0,0,0,1,0,0.964,0.036
29.825,-0.015,0,0,0,0,0,1,0,0.97,0.03
29.835,-0.015,0,0,0,0,0,1,0,0.948,0.052
29.895,-0.015,0,0,0,0,0,1,0,0.984,0.016
29.905,-0.015,0,0,0,0,0,1,0,0.954,0.046
29.915,-0.015,0,0,0,0,0,1,0,0.914,0.086
29.955,-0.015,0,0,0,0,0,1,0,0.958,0.042
29.975,-0.015,0,0,0,0,0,1,0,0.98,0.02
29.995,-0.015,0,0,0,0,0,1,0,0.982,0.018
29.785,-0.025,0,0,0,0,0,1,0,1,0
29.815,-0.025,0,0,0,0,0,1,0,0.992,0.008
29.835,-0.025,0,0,0,0,0,1,0,0.902,0.098
29.845,-0.025,0,0,0,0,0,1,0,0.996,0.004
29.855,-0.025,0,0,0,0,0,1,0,0.964,0.036
29.865,-0.025,0,0,0,0,0,1,0,0.98,0.02
29.875,-0.025,0,0,0,0,0,1,0,0.972,0.028
29.885,-0.025,0,0,0,0,0,1,0,0.986,0.014
29.895,-0.025,0,0,0,0,0,1,0,0.954,0.046
29.905,-0.025,0,0,0,0,0,1,0,0.96,0.04
29.915,-0.025,0,0,0,0,0,1,0,0.852,0.148
29.945,-0.025,0,0,0,0,0,1,0,0.926,0.074
29.955,-0.025,0,0,0,0,0,1,0,0.996,0.004
29.765,-0.035,0,0,0,0,0,1,0,0.944,0.056
29.775,-0.035,0,0,0,0,0,1,0,0.966,0.034
29.795,-0.035,0,0,0,0,0,1,0,0.998,0.002
29.805,-0.035,0,0,0,0,0,1,0,0.99,0.01
29.815,-0.035,0,0,0,0,0,1,0,0.982,0.018
29.845,-0.035,0,0,0,0,0,1,0,0.988,0.012
29.875,-0.035,0,0,0,0,0,1,0,0.948,0.052
29.895,-0.035,0,0,0,0,0,1,0,0.842,0.158
29.905,-0.035,0,0,0,0,0,1,0,0.85,0.15
29.915,-0.035,0,0,0,0,0,1,0,0.686,0.314
29.925,-0.035,0,0,0,0,0,1,0,0.724,0.276
29.965,-0.035,0,0,0,0,0,1,0,0.56,0.44
29.975,-0.035,0,0,0,0,0,1,0,0.934,0.066
29.995,-0.035,0,0,0,0,0,1,0,0.89,0.11
29.765,-0.045,0,0,0,0,0,1,0,0.984,0.016
29.775,-0.045,0,0,0,0,0,1,0,0.96,0.04
29.785,-0.045,0,0,0,0,0,1,0,0.882,0.118
29.795,-0.045,0,0,0,0,0,1,0,0.974,0.026
29.805,-0.045,0,0,0,0,0,1,0,0.99,0.01
29.845,-0.045,0,0,0,0,0,1,0,0.998,0.002
29.855,-0.045,0,0,0,0,0,1,0,0.986,0.014
29.865,-0.045,0,0,0,0,0,1,0,0.984,0.016
29.885,-0.045,0,0,0,0,0,1,0,0.916,0.084
29.905,-0.045,0,0,0,0,0,1,0,0.872,0.128
29.915,-0.045,0,0,0,0,0,1,0,0.868,0.132
29.925,-0.045,0,0,0,0,0,1,0,0.81,0.19
29.935,-0.045,0,0,0,0,0,1,0,0.782,0.218
29.945,-0.045,0,0,0,0,0,1,0,0.708,0.292
29.955,-0.045,0,0,0,0,0,1,0,0.968,0.032
29.965,-0.045,0,0,0,0,0,1,0,0.912,0.088
29.985,-0.045,0,0,0,0,0,1,0,0.986,0.014
29.735,-0.055,0,0,0,0,0,1,0,0.872,0.128
29.755,-0.055,0,0,0,0,0,1,0,0.956,0.044
29.765,-0.055,0,0,0,0,0,1,0,0.98,0.02
29.795,-0.055,0,0,0,0,0,1,0,0.816,0.184
29.805,-0.055,0,0,0,0,0,1,0,0.962,0.038
29.855,-0.055,0,0,0,0,0,1,0,1,0
29.875,-0.055,0,0,0,0,0,1,0,0.94,0.06
29.885,-0.055,0,0,0,0,0,1,0,0.982,0.018
29.905,-0.055,0,0,0,0,0,1,0,0.808,0.192
29.945,-0.055,0,0,0,0,0,1,0,0.904,0.096
29.965,-0.055,0,0,0,0,0,1,0,0.998,0.002
29.975,-0.055,0,0,0,0,0,1,0,0.918,0.082
29.735,-0.065,1,0,0,0,0,0,1,0.316,0.684
29.765,-0.065,0,0,0,0,0,1,0,0.898,0.102
29.775,-0.065,0,0,0,0,0,1,0,0.976,0.024
29.795,-0.065,0,0,0,0,0,1,0,0.976,0.024
