"S","Y","H"
"Ssynth",0.65,0.955033385588296
"Ssynth",0.78,1.36405830050463
"Ssynth",0.85,1.95940914023259
"Ssynth",0.85,1.47385369733298
"Ssynth",0.72,1.28765890781257
"Ssynth",0.07,-0.881364014011314
"Ssynth",0.29,-0.170668149065165
"Ssynth",0.8,1.5386087058058
"Ssynth",0.09,-1.01954470805631
"Ssynth",0.76,1.34269923650046
"Ssynth",0.34,-0.0243317842433822
"Ssynth",0.76,1.23791581998113
"Ssynth",0.19,-0.417064930680424
"Ssynth",0.22,-0.422327551066852
"Ssynth",0.11,-0.925775431658399
"Ssynth",0.09,-0.802351806218142
"Ssynth",0.22,-0.370232368721469
"Ssynth",0.83,1.3744116998844
"Ssynth",0.29,-0.158120437760534
"Ssynth",0.21,-0.387160562975082
"Ssynth",0.95,1.93601238373637
"Ssynth",0.1,-0.662252082857394
"Ssynth",0.11,-0.675110875655803
"Ssynth",0.94,1.67663199835435
"Ssynth",0.8,1.29439486415178
"Ssynth",0.15,-0.621229916813937
"Ssynth",0.16,-0.551104075884199
"Ssynth",0.15,-0.557645498237357
"Ssynth",0.21,-0.443573989815738
"Ssynth",0.75,1.25717650781688
"Ssynth",0.13,-0.579344021595299
"Ssynth",0.18,-0.45984932770381
"Ssynth",0.21,-0.389591398747933
"Ssynth",0.24,-0.295146995766534
"Ssynth",0.16,-0.568837344498632
"Ssynth",0.07,-0.821604096316876
"Ssynth",0.11,-0.761122932620972
"Ssynth",0.14,-0.790170572837133
"Ssynth",0.14,-0.664626925520827
"Ssynth",0.12,-0.605080047689638
"Ssynth",0.29,-0.195633730122746
"Ssynth",0.05,-1.10009894103904
"Ssynth",0.02,-1.06173535733775
"Ssynth",0.06,-0.879845948854543
"Ssynth",0.01,-1.12958368247562
"Ssynth",0.84,1.4208939068509
"Ssynth",0.77,0.981781497502936
"Ssynth",0.22,-0.415788969793477
"Ssynth",0.09,-0.883189026608242
"Ssynth",0.75,1.41455067512972
"Ssynth",0.01,-1.06315620122903
"Ssynth",0.13,-0.723359940622433
"Ssynth",0.73,1.28717067259135
"Ssynth",0.11,-0.915211249289389
"Ssynth",0.74,1.30556987656065
"Ssynth",0.32,-0.0882523521426685
"Ssynth",0.1,-0.800721337640356
"Ssynth",0.17,-0.539365585601357
"Ssynth",0.08,-0.95994972474753
"Ssynth",0.85,1.7046697766799
"Ssynth",0.81,1.95075725290833
"Ssynth",0.81,1.58872032578622
"Ssynth",0.95,2.25975754428021
"Ssynth",0.21,-0.459773076077123
"Ssynth",0.9,2.09959475338018
"Ssynth",0.76,1.38649936606596
"Ssynth",0.06,-0.698065058826181
"Ssynth",0.3,-0.149190641245227
"Ssynth",0.16,-0.611381470048064
"Ssynth",0.75,1.19131045499585
"Ssynth",0.14,-0.565426914901841
"Ssynth",0.12,-0.635720388361735
"Ssynth",0.11,-0.69028031816761
"Ssynth",0.85,1.45068073697923
"Ssynth",0.07,-0.848837146300658
"Ssynth",0.69,1.02704667576625
"Ssynth",0.84,1.65596828520706
"Ssynth",0.16,-0.583533223166793
"Ssynth",0.11,-0.683155754947603
"Ssynth",0.77,1.53614847728843
"Ssynth",0.28,-0.199349515658936
"Ssynth",0.02,-1.20663621093743
"Ssynth",0.11,-0.664241236183722
"Ssynth",0.89,1.86550207635209
"Ssynth",0.12,-0.839303690325642
"Ssynth",0.21,-0.40826412427402
"Ssynth",0.79,1.36729718731361
"Ssynth",0.84,1.55219083639812
"Ssynth",0.2,-0.582966886896651
"Ssynth",0.21,-0.464881044575001
"Ssynth",0.13,-0.775601539223223
"Ssynth",0.15,-0.604915899315463
"Ssynth",0.09,-0.85743228157171
"Ssynth",0.18,-0.58968732857234
"Ssynth",0.12,-0.679311536423696
"Ssynth",0.09,-0.737275747944429
"Ssynth",0.14,-0.604061137322925
"Ssynth",0.12,-0.906972515293401
"Ssynth",0.16,-0.589716679330325
"Ssynth",0.09,-0.83333806849669
"Ssynth",0.13,-0.730352645063236
"Ssynth",0.2,-0.489846663152536
"Ssynth",0.2,-0.493567126503713
"Ssynth",0.23,-0.378735241418305
"Ssynth",0.78,1.45318074317176
"Ssynth",0.13,-0.672250290239144
"Ssynth",0.15,-0.65021337734472
"Ssynth",0.32,-0.0899245165547003
"Ssynth",0.18,-0.488768438274801
"Ssynth",0.82,1.86720551706959
"Ssynth",0.78,1.25973131664038
"Ssynth",0.73,1.33108662287975
"Ssynth",0.83,1.45869894721015
"Ssynth",0.78,1.2257602456874
"Ssynth",0.82,1.60487409055383
"Ssynth",0.78,1.48656219543826
"Ssynth",0.11,-0.830561830260502
"Ssynth",0.13,-0.723359940622433
"Ssynth",0.81,1.40114043021378
"Ssynth",0.87,1.68046311734867
"Ssynth",0.09,-0.849200195889613
"Ssynth",0.81,1.33293506012987
"Ssynth",0.27,-0.261452773777213
"Ssynth",0.77,1.16493923778972
"Ssynth",0.05,-0.928224261622907
"Ssynth",0.14,-0.77147402774956
"Ssynth",0.8,1.51983035885355
"Ssynth",0.2,-0.512668983615519
"Ssynth",0.86,1.72263616739867
"Ssynth",0.79,1.41002692345414
"Ssynth",0.12,-0.779375712448301
"Ssynth",0.2,-0.427381581180319
"Ssynth",0.85,1.61656898664455
"Ssynth",0.15,-0.689839665080344
"Ssynth",0.16,-0.674137611323053
"Ssynth",0.83,1.79951634517555
"Ssynth",0.74,1.67131005618694
"Ssynth",0.66,1.12679829645331
"Ssynth",0.81,1.62319943012794
"Ssynth",0.28,-0.220036637869878
"Ssynth",0.87,1.85228843375212
"Ssynth",0.73,1.37614202692979
"Ssynth",0.84,1.65303439667278
"Ssynth",0.14,-0.806632936746467
"Ssynth",0.89,1.8391060775052
"Ssynth",0.87,1.69801270726569
"Ssynth",0.19,-0.459827560296283
"Ssynth",0.11,-0.721011690739378
"Ssynth",0.14,-0.84543489384365
"Ssynth",0.15,-0.621229916813937
"Ssynth",0.9,2.5245173893856
"Ssynth",0.2,-0.544681765777013
"Ssynth",0.86,1.51915213425505
"Ssynth",0.17,-0.563154382659245
"Ssynth",0.24,-0.329883398935862
"Ssynth",0.83,1.30901526972907
"Ssynth",0.87,1.41541653183523
"Ssynth",0.18,-0.513342720391137
"Ssynth",0.9,1.52345959533219
"Ssynth",0.19,-0.508442594333303
"Ssynth",0.1,-0.726526521710365
"Ssynth",0.07,-0.972077856523022
"Ssynth",0.21,-0.439726126013003
"Ssynth",0.65,0.926695858256595
"Ssynth",0.8,1.37095499169049
"Ssynth",0.12,-0.703178000490757
"Ssynth",0.75,1.46422963433158
"Ssynth",0.16,-0.605874889319974
"Ssynth",0.87,1.36814144872929
"Ssynth",0.64,0.974961335353468
"Ssynth",0.8,1.34448942850649
"Ssynth",0.07,-0.962152532375792
"Ssynth",0.68,1.09538955441351
"Ssynth",0.73,1.30058371745326
"Ssynth",0.1,-0.76480106792601
"Ssynth",0.15,-0.487926967349313
"Ssynth",0.85,1.7046697766799
"Ssynth",0.05,-0.936146085550804
"Ssynth",0.75,1.57437368430146
"Ssynth",0.19,-0.629390941717836
"Ssynth",0.66,1.40338652414925
"Ssynth",0.22,-0.391009960767465
"Ssynth",0.65,1.00805731785415
"Ssynth",0.7,1.1862644390067
"Ssynth",0.65,0.976018039743289
"Ssynth",0.85,1.76212586481708
"Ssynth",0.81,1.42920189087944
"Ssynth",0.85,1.53685723042826
"Ssynth",0.76,1.40171469097224
"Ssynth",0.72,1.31010951276397
"Ssynth",0.08,-0.8909702865262
"Ssynth",0.81,1.27535101878028
"Ssynth",0.73,1.24563878445486
"Ssynth",0.87,2.06686449179656
"Ssynth",0.78,1.85109521388411
"Ssynth",0.16,-0.611381470048064
"Ssynth",0.12,-0.78720449587445
"Ssynth",0.08,-0.977035038889812
"Ssynth",0.19,-0.499539958221067
"Ssynth",0.86,1.56729559579641
"Ssynth",0.84,1.31091294990128
"Ssynth",0.87,1.75285421987908
"Ssynth",0.91,1.78970613338831
"Ssynth",0.23,-0.351189638309402
"Ssynth",0.12,-0.636508642484571
"Ssynth",0.28,-0.205882436024456
"Ssynth",0.86,1.66615574550679
"Ssynth",0.86,1.52118314872818
"Ssynth",0.14,-0.779950610360855
"Ssynth",0.83,1.55264564996017
"Ssynth",0.15,-0.703343942324311
"Ssynth",0.26,-0.274971342844152
"Ssynth",0.87,1.66326090013082
"Ssynth",0.21,-0.455597127240365
"Ssynth",0.24,-0.319923726859808
"Ssynth",0.21,-0.459773076077123
"Ssynth",0.79,1.30225625338217
"Ssynth",0.87,1.2898443250745
"Ssynth",0.82,1.79925613597857
"Ssynth",0.85,1.50705807282555
"Ssynth",0.79,1.35408784423945
"Ssynth",0.17,-0.658032293055253
"Ssynth",0.13,-0.709801800885285
"Ssynth",0.94,1.84679803087494
"Ssynth",0.83,1.79327980428847
"Ssynth",0.85,1.8890610784097
"Ssynth",0.9,1.7581055464169
"Ssynth",0.9,1.79475991030722
"Ssynth",0.15,-0.580325994309919
"Ssynth",0.1,-0.751727479329151
"Ssynth",0.22,-0.36476335496038
"Ssynth",0.93,1.83417508787432
"Ssynth",0.9,1.63613297381133
"Ssynth",0.81,1.80552222249653
"Ssynth",0.88,1.8662301511416
"Ssynth",0.89,1.87986883140547
"Ssynth",0.8,1.47237005825459
"Ssynth",0.83,1.40624720765615
"Ssynth",0.79,1.39563063691324
"Ssynth",0.81,1.66056341245578
"Ssynth",0.83,1.46149178218332
"Ssynth",0.84,1.4771789255962
"Ssynth",0.9,2.09959475338018
"Ssynth",0.93,1.89144018587074
"Ssynth",0.89,1.72649781349982
"Ssynth",0.81,1.32297065290897
"Ssynth",0.82,1.69607545253312
"Ssynth",0.23,-0.378735241418305
"Ssynth",0.8,1.35759849514414
"Ssynth",0.79,1.79553903947743
"Ssynth",0.94,1.88446504285382
"Ssynth",0.86,1.50656633570787
"Ssynth",0.72,1.26685715144963
"Ssynth",0.83,1.98072800135704
"Ssynth",0.89,2.08730364402585
"Ssynth",0.82,1.9403166094192
"Ssynth",0.87,2.11477188358928
"Ssynth",0.22,-0.549962818418296
"Ssynth",0.85,1.45068073697923
"Ssynth",0.85,1.95940914023259
"Ssynth",0.82,1.72606959044112
"Ssynth",0.79,1.36532263701925
"Ssynth",0.69,1.04894095524176
"Ssynth",0.81,1.64167606440273
"Ssynth",0.84,1.76707248177557
"Ssynth",0.19,-0.582455147503234
"Ssynth",0.78,1.48780354707129
"Ssynth",0.79,1.89314057735319
"Ssynth",0.13,-0.730352645063236
"Ssynth",0.16,-0.64905097643434
"Ssynth",0.87,1.5225101339641
"Ssynth",0.73,1.14808663660718
"Ssynth",0.86,1.41324341581841
"Ssynth",0.92,1.68351788751142
"Ssynth",0.76,1.31498913635821
"Ssynth",0.77,1.26784608138412
"Ssynth",0.13,-0.683958113799762
"Ssynth",0.79,1.55874873351889
"Ssynth",0.7,1.11290213176838
"Ssynth",0.72,1.59855706539902
"Ssynth",0.85,2.00920215135204
"Ssynth",0.79,1.28881323695631
"Ssynth",0.77,1.31913135689258
"Ssynth",0.22,-0.384796874715115
"Ssynth",0.21,-0.451507025851705
"Ssynth",0.23,-0.449808228817197
"Ssynth",0.27,-0.225500261506711
"Ssynth",0.16,-0.660473568729243
"Ssynth",0.14,-0.739468112858808
"Ssynth",0.23,-0.486746372298211
"Ssynth",0.31,-0.154881052508677
"Ssynth",0.21,-0.439726126013003
"Ssynth",0.78,1.59062705161991
"Ssynth",0.14,-0.66507434666406
"Ssynth",0.19,-0.547955030929166
"Ssynth",0.23,-0.48397343103545
"Ssynth",0.19,-0.57042797570859
"Ssynth",0.37,0.0941440385801862
"Ssynth",0.85,1.74256204794478
"Ssynth",0.33,-0.0546450972146767
"Ssynth",0.16,-0.546668033335172
"Ssynth",0.09,-0.85743228157171
"Ssynth",0.07,-0.85512704538498
"Ssynth",0.21,-0.427905100577534
"Ssynth",0.69,1.22717640726278
"Ssynth",0.09,-0.8506241168535
"Ssynth",0.08,-0.818591255493384
"Ssynth",0.18,-0.636208516973456
"Ssynth",0.85,1.63347735564531
"Ssynth",0.15,-0.626797533893088
"Ssynth",0.81,1.48869308726589
"Ssynth",0.87,1.46363168876881
"Ssynth",0.92,2.00491531141038
"Ssynth",0.14,-0.7471974561205
"Ssynth",0.22,-0.450733613348992
"Ssynth",0.07,-0.995025140826031
"Ssynth",0.91,2.27411501306562
"Ssynth",0.35,0.0277012188326791
"Ssynth",0.94,1.94384466087226
"Ssynth",0.14,-0.676987389411338
"Ssynth",0.82,1.73594047214223
"Ssynth",0.29,-0.212426134596773
"Ssynth",0.91,1.92714947169095
"Ssynth",0.32,-0.0879385180494408
"Ssynth",0.25,-0.284033963237518
"Ssynth",0.88,1.78611166076315
"Ssynth",0.88,1.66058632252975
"Ssynth",0.96,1.967625817637
"Ssynth",0.88,1.48162615294841
"Ssynth",0.79,1.68646250511037
"Ssynth",0.87,1.32611655292286
"Ssynth",0.1,-0.750182242947122
"Ssynth",0.2,-0.513138470472656
"Ssynth",0.8,1.51983035885355
"Ssynth",0.84,1.61812453917197
"Ssynth",0.26,-0.261679759945496
"Ssynth",0.09,-0.867722622893168
"Ssynth",0.09,-0.785377529823401
"Ssynth",0.14,-0.645832624665143
"Ssynth",0.23,-0.360443363486884
"Ssynth",0.31,-0.125850600390673
"Ssynth",0.06,-0.762320757610438
"Ssynth",0.8,1.25620193661205
"Ssynth",0.1,-0.684617969893684
"Ssynth",0.23,-0.336454498487815
"Ssynth",0.09,-0.801475800716539
"Ssynth",0.85,1.51323664718346
"Ssynth",0.78,1.43895452449461
"Ssynth",0.11,-0.69278414060123
"Ssynth",0.05,-0.877630797177765
"Ssynth",0.06,-0.827375172391151
"Ssynth",0.29,-0.178284866973254
"Ssynth",0.17,-0.537725887737625
"Ssynth",0.04,-0.89035066845232
"Ssynth",0.21,-0.501712225419508
"Ssynth",0.85,1.7248151898547
"Ssynth",0.88,1.9767320733806
"Ssynth",0.35,0.0288036660375373
"Ssynth",0.28,-0.239184214492805
"Ssynth",0.91,1.84620831073039
"Ssynth",0.77,1.20910910908754
"Ssynth",0.14,-0.614607401801169
"Ssynth",0.86,1.8966606760619
"Ssynth",0.75,0.971219523800907
"Ssynth",0.26,-0.2605949332337
"Ssynth",0.78,1.32360306066846
"Ssynth",0.83,1.37731066596588
"Ssynth",0.76,1.38649936606596
"Ssynth",0.84,1.45482745111809
"Ssynth",0.65,0.977878441871515
"Ssynth",0.7,1.2920657016548
"Ssynth",0.81,1.62492071445596
"Ssynth",0.77,1.6514656653426
"Ssynth",0.96,2.21753830565435
"Ssynth",0.82,1.6768001688373
"Ssynth",0.79,1.32618610801537
"Ssynth",0.79,1.37890101944707
"Ssynth",0.82,1.58926860112014
"Ssynth",0.85,1.82032473221104
"Ssynth",0.76,1.03118288769085
"Ssynth",0.79,1.48650951977219
"Ssynth",0.15,-0.878048559513152
"Ssynth",0.76,2.04377988878079
"Ssynth",0.85,2.41647160956407
"Ssynth",0.15,-0.823516677036582
"Ssynth",0.07,-1.23408957154122
"Ssynth",0.19,-0.652282477180768
"Ssynth",0.65,1.16648216248521
"Ssynth",0.21,-0.609068321531072
"Ssynth",0.14,-0.753045889150215
"Ssynth",0.14,-0.69748925363929
"Ssynth",0.76,1.5133012871848
"Ssynth",0.81,2.00433468182402
"Ssynth",0.04,-1.33446751582727
"Ssynth",0.03,-1.34765782564091
"Ssynth",0.05,-1.2949029926367
"Ssynth",0.05,-1.17840971570027
"Ssynth",0.63,1.15254851806938
"Ssynth",0.69,1.63571280889764
"Ssynth",0.14,-0.836575599369947
"Ssynth",0.17,-0.771777997311714
"Ssynth",0.17,-0.600341734506014
"Ssynth",0.13,-0.933686415950482
"Ssynth",0.15,-0.691644790527905
"Ssynth",0.13,-0.991730958838766
"Ssynth",0.13,-0.839626060156327
"Ssynth",0.78,1.57427823394641
"Ssynth",0.1,-1.04574482682129
"Ssynth",0.22,-0.587088674406544
"Ssynth",0.76,1.82335857859572
"Ssynth",0.74,1.52471439906926
"Ssynth",0.03,-1.24052550339073
"Ssynth",0.77,1.68035748693877
"Ssynth",0.86,2.52706647593661
"Ssynth",0.84,2.28837417941931
"Ssynth",0.91,2.30359873733727
"Ssynth",0.83,2.00686273952531
"Ssynth",0.89,2.63102832248814
"Ssynth",0.87,2.4477972862142
"Ssynth",0.91,2.49744400001091
"Ssynth",0.8,1.7875725341335
"Ssynth",0.95,3.15490634907106
"Ssynth",0.77,1.76112815036314
"Ssynth",0.78,2.14057120979199
"Ssynth",0.72,1.93347198540074
"Ssynth",0.74,1.71025844391352
"Ssynth",0.72,1.5991546337163
"Ssynth",0.23,-0.501298406179466
"Ssynth",0.68,1.51544217123836
"Ssynth",0.8,1.9220436845194
"Ssynth",0.72,1.37592909885996
"Ssynth",0.76,1.80664765833592
"Ssynth",0.77,1.84068526048403
"Ssynth",0.77,1.90201949425816
