shrid2,state_name,district_name,subdistrict_name,clusters,wave,D,Ycons_raw,urban,tot_p,tot_f,Ylowinc_raw,Ymidinc_raw,Ylowinc,Ymidinc,Ycons
11-28-532-04305-568945,andhra pradesh,adilabad,tamsi,TAMSI ADILABAD,Holdout,NA,18871.625,0,2123,0.5138954309938766,0.016877636313438416,0,0,1,1
11-28-532-04305-568946,andhra pradesh,adilabad,tamsi,TAMSI ADILABAD,Holdout,NA,17550.08984375,0,506,0.5177865612648221,0,0,1,1,1
11-28-532-04305-568947,andhra pradesh,adilabad,tamsi,TAMSI ADILABAD,Holdout,NA,15545.0126953125,0,756,0.49206349206349204,0.06358381360769272,0.005780346691608429,0,0,1
11-28-532-04305-568948,andhra pradesh,adilabad,tamsi,TAMSI ADILABAD,Holdout,NA,18115.791015625,0,548,0.5237226277372263,0.08403361588716507,0.008403361774981022,0,0,1
11-28-532-04305-568949,andhra pradesh,adilabad,tamsi,TAMSI ADILABAD,Holdout,NA,18064.283203125,0,1503,0.48968729208250167,0.06395348906517029,0.00872093066573143,0,0,1
11-28-532-04305-568950,andhra pradesh,adilabad,tamsi,TAMSI ADILABAD,Holdout,NA,22367.123046875,0,1085,0.48294930875576036,0.1284722238779068,0.0486111119389534,0,0,0
11-28-532-04305-568951,andhra pradesh,adilabad,tamsi,TAMSI ADILABAD,Holdout,NA,26285.728515625,0,1009,0.48067393458870167,0.35593220591545105,0.3093220293521881,0,0,0
11-28-532-04305-568952,andhra pradesh,adilabad,tamsi,TAMSI ADILABAD,Holdout,NA,17518.80078125,0,352,0.5142045454545454,0.32098764181137085,0.012345679104328156,0,0,1
11-28-532-04305-568953,andhra pradesh,adilabad,tamsi,TAMSI ADILABAD,Holdout,NA,19559.1015625,0,442,0.5113122171945701,0.380952388048172,0,0,1,0
11-28-532-04305-568954,andhra pradesh,adilabad,tamsi,TAMSI ADILABAD,Holdout,NA,16555.34765625,0,1029,0.4839650145772595,0.21212121844291687,0.03030303120613098,0,0,1
11-28-532-04305-568955,andhra pradesh,adilabad,tamsi,TAMSI ADILABAD,Holdout,NA,20900.546875,0,161,0.5031055900621118,0,0,1,1,0
11-28-532-04305-568956,andhra pradesh,adilabad,tamsi,TAMSI ADILABAD,Holdout,NA,18715.734375,0,637,0.5086342229199372,0.006493506487458944,0.006493506487458944,0,0,1
11-28-532-04305-568957,andhra pradesh,adilabad,tamsi,TAMSI ADILABAD,Holdout,NA,20361.166015625,0,1410,0.524113475177305,0.03963414579629898,0.0030487803742289543,0,0,0
11-28-532-04305-568958,andhra pradesh,adilabad,tamsi,TAMSI ADILABAD,Holdout,NA,19337.76171875,0,377,0.5092838196286472,0.023255813866853714,0.023255813866853714,0,0,0
11-28-532-04305-568959,andhra pradesh,adilabad,tamsi,TAMSI ADILABAD,Holdout,NA,20945.361328125,0,722,0.481994459833795,0.3125,0.005681818351149559,0,0,0
11-28-532-04305-568960,andhra pradesh,adilabad,tamsi,TAMSI ADILABAD,Holdout,NA,22735.375,0,1214,0.5041186161449753,0.3855421543121338,0,0,1,0
