shrid2,centroid_lat,centroid_lon,distance_km,lat,lon
11-28-532-04305-568945,19.857960885740894,78.31653400574983,0.3666541363641096,19.855,78.315
11-28-532-04305-568946,19.90318544803187,78.31854246553047,0.4222396096985205,19.905,78.315
11-28-532-04305-568947,19.875129016886525,78.33773020194218,0.2861823812353608,19.875,78.335
11-28-532-04305-568948,19.872062380943724,78.37030861434991,0.5900486880623046,19.875,78.375
11-28-532-04305-568949,19.83249867713913,78.36478687955977,0.2793389033774324,19.835,78.365
11-28-532-04305-568950,19.822616239691932,78.40118536537933,0.4795817985336008,19.825,78.405
11-28-532-04305-568951,19.806108199949392,78.39458348467245,0.13085013867374365,19.805,78.395
11-28-532-04305-568952,19.79399321218617,78.38574028306144,0.13628309787112813,19.795,78.385
11-28-532-04305-568953,19.7922582,78.40075995714496,0.5388812947315572,19.795,78.405
11-28-532-04305-568954,19.795887137113205,78.42184454938625,0.3449449710482744,19.795,78.425
11-28-532-04305-568955,19.79434870393825,78.44314779960258,0.2071078756428251,19.795,78.445
11-28-532-04305-568956,19.797282493544913,78.46730665387639,0.35061482861871435,19.795,78.465
11-28-532-04305-568957,19.758057381210268,78.45197779426299,0.4648529977292738,19.755,78.455
11-28-532-04305-568958,19.758652408338094,78.42356556,0.43346886136548607,19.755,78.425
11-28-532-04305-568959,19.771110713069657,78.41315449648586,0.4741564019537797,19.775,78.415
11-28-532-04305-568960,19.781524405871934,78.38204887255326,0.4952305163261996,19.785,78.385
11-28-532-04305-568961,19.753612170473247,78.37470374372694,0.1575795073827047,19.755,78.375
11-28-532-04305-568962,19.723375026469622,78.35802259,0.3647475601533262,19.725,78.355
11-28-532-04305-568963,19.714503821611974,78.38840202700058,0.3607665647635224,19.715,78.385
11-28-532-04305-568964,19.724546219030426,78.41400781024626,0.11559135401196409,19.725,78.415
11-28-532-04305-568965,19.741311273684378,78.41628044262077,0.4319876894213784,19.745,78.415
11-28-532-04305-568966,19.728360099869885,78.45002743908034,0.6414126747168392,19.725,78.455
11-28-532-04305-568967,19.758474690602796,78.47459270456706,0.3891473602531529,19.755,78.475
11-28-532-04305-568968,19.742356334331124,78.49966718108625,0.5707311666785666,19.745,78.495
11-28-532-04305-568969,19.72602370893918,78.48217672648138,0.317032817,19.725,78.485
11-28-532-04305-568970,19.71026845437149,78.46806123385937,0.6167189266705028,19.715,78.465
11-28-532-04305-568971,19.710488795007326,78.44158177791921,0.6168530763580042,19.715,78.445
11-28-532-04305-568972,19.69331795,78.41699761443563,0.2808816452820439,19.695,78.415
11-28-532-04305-568973,19.695458322183757,78.4469698,0.21265958140507585,19.695,78.445
11-28-532-04305-568974,19.68138948,78.45369505764229,0.4245572808224436,19.685,78.455
11-28-532-04305-568975,19.667027542100833,78.47894334016681,0.4709711815632274,19.665,78.475
11-28-532-04306-568976,19.728847838810324,78.51751946487782,0.5031636361867878,19.725,78.515
11-28-532-04306-568979,19.70490207163601,78.49701617464157,0.21157769928374112,19.705,78.495
11-28-532-04306-568981,19.69509077370557,78.49621500815671,0.12774197810966145,19.695,78.495
11-28-532-04306-568982,19.70543214729669,78.52246677614316,0.26980670711645877,19.705,78.525
11-28-532-04306-568983,19.720025617661754,78.54643716949465,0.5738594359971068,19.725,78.545
11-28-532-04306-568985,19.709880468136205,78.5686718,0.6657611666162341,19.705,78.565
11-28-532-04306-568987,19.698858258953766,78.58835008962656,0.5547501301058584,19.695,78.585
11-28-532-04306-568989,19.679640926069634,78.61553314411034,0.5196392089600839,19.675,78.615
11-28-532-04306-568990,19.657517422897865,78.63733203,0.3718877158725052,19.655,78.635
11-28-532-04306-568991,19.632007485968877,78.63815904450757,0.4697634211496668,19.635,78.635
11-28-532-04306-568992,19.651110286985013,78.60744953137531,0.5034222121286485,19.655,78.605
