shrid2,Ycons,Ylowinc,Ymidinc,wave,D,R_PC1,R_PC1_scaled
11-28-532-04305-568945,1,0,1,Holdout,NA,-53.8768295790852,-1.1038733471714535
11-28-532-04305-568946,1,1,1,Holdout,NA,51.90866499709181,1.063547952342491
11-28-532-04305-568947,1,0,0,Holdout,NA,13.039725510126193,0.2671687543145222
11-28-532-04305-568948,1,0,0,Holdout,NA,35.786720106795144,0.7332281208304663
11-28-532-04305-568949,1,0,0,Holdout,NA,-15.025575798105994,-0.30785650861446384
11-28-532-04305-568950,0,0,0,Holdout,NA,27.404515665689562,0.5614865364542657
11-28-532-04305-568951,0,0,0,Holdout,NA,40.082353581027085,0.8212406363861872
11-28-532-04305-568952,1,0,0,Holdout,NA,-7.891903655778209,-0.16169589361732511
11-28-532-04305-568953,0,0,1,Holdout,NA,-9.223336087031578,-0.18897538994074706
11-28-532-04305-568954,1,0,0,Holdout,NA,41.58277167115945,0.8519824516015718
11-28-532-04305-568955,0,1,1,Holdout,NA,32.209136982629985,0.6599276187610319
11-28-532-04305-568956,1,0,0,Holdout,NA,20.29507380688497,0.415822371682291
11-28-532-04305-568957,0,0,0,Holdout,NA,-15.566626956742885,-0.31894201528108757
11-28-532-04305-568958,0,0,0,Holdout,NA,1.814648697759027,0.0371800335614625
11-28-532-04305-568959,0,0,0,Holdout,NA,-0.2837632652185732,-0.00581397806493645
11-28-532-04305-568960,0,0,1,Holdout,NA,-35.10147735903819,-0.7191882968189012
11-28-532-04305-568961,0,0,0,Holdout,NA,-28.32399434281078,-0.5803255812328133
11-28-532-04305-568962,1,0,0,Holdout,NA,27.539814238484443,0.5642586462756013
11-28-532-04305-568963,0,0,1,Holdout,NA,-43.011507443973294,-0.8812555798105086
11-28-532-04305-568964,0,0,1,Holdout,NA,-14.883244456189697,-0.30494030556324464
11-28-532-04305-568965,1,0,0,Holdout,NA,45.56614313385346,0.9335970830471133
11-28-532-04305-568966,0,0,0,Holdout,NA,22.396298724066774,0.45887401745674755
11-28-532-04305-568967,0,0,0,Holdout,NA,19.629384497461622,0.40218317479727855
11-28-532-04305-568968,1,0,0,Holdout,NA,12.604427163637931,0.2582499993226225
11-28-532-04305-568969,1,0,1,Holdout,NA,-10.921976170243802,-0.22377854240803655
11-28-532-04305-568970,0,0,1,Holdout,NA,35.704201945449036,0.7315374200286707
11-28-532-04305-568971,0,0,0,Holdout,NA,34.881301362021055,0.7146771476534266
11-28-532-04305-568972,0,0,0,Holdout,NA,19.812151079221742,0.4059278487124814
11-28-532-04305-568973,0,1,1,Holdout,NA,10.92373782773458,0.22381463671362428
11-28-532-04305-568974,1,1,1,Holdout,NA,-9.99959895938196,-0.20488011005662757
11-28-532-04305-568975,0,0,0,Holdout,NA,48.873163812727576,1.0013540764424913
11-28-532-04306-568976,0,0,0,Holdout,NA,7.7135244890527,0.15804111271471302
11-28-532-04306-568979,0,0,0,Holdout,NA,1.7983584881314232,0.036846266181899984
11-28-532-04306-568981,0,0,0,Holdout,NA,-20.276876742615677,-0.41544953507700844
11-28-532-04306-568982,0,0,0,Holdout,NA,2.2417326636884396,0.04593048548443115
11-28-532-04306-568983,0,0,0,Holdout,NA,26.84315064540772,0.549984822475089
11-28-532-04306-568985,0,0,0,Holdout,NA,1.0174843381222283,0.02084706636957595
11-28-532-04306-568987,0,0,0,Holdout,NA,-21.63530620149441,-0.4432821689826027
11-28-532-04306-568989,0,0,1,Holdout,NA,48.195391578800646,0.9874673145389061
11-28-532-04306-568990,0,0,0,Holdout,NA,67.35735206454763,1.3800735169643719
11-28-532-04306-568991,0,1,1,Holdout,NA,22.152728292052664,0.4538835436267175
11-28-532-04306-568992,0,0,1,Holdout,NA,-2.641729490398207,-0.05412595354384836
11-28-532-04306-568993,0,0,1,Holdout,NA,-23.391504096181716,-0.47926461381926966
11-28-532-04306-568994,0,0,0,Holdout,NA,43.92880712540586,0.9000499795109574
11-28-532-04306-568995,0,0,0,Holdout,NA,-87.128296258248,-1.7851570846936855
11-28-532-04306-568996,1,0,0,Holdout,NA,29.4532208536675,0.6034621142840836
11-28-532-04306-568997,1,0,0,Holdout,NA,13.756519050515184,0.2818550172375958
11-28-532-04306-568998,0,0,0,Holdout,NA,-25.026065833201677,-0.512754875772305
11-28-532-04306-568999,0,0,0,Holdout,NA,-1.2239910710609352,-0.02507814827033744
11-28-532-04306-569000,1,1,1,Holdout,NA,20.513110067755697,0.42028968015185897
11-28-532-04306-569001,0,0,0,Holdout,NA,26.851595890260302,0.5501578556839086
11-28-532-04306-569002,0,0,0,Holdout,NA,17.689681881216025,0.3624409324225815
11-28-532-04306-569003,1,0,0,Holdout,NA,-28.45147553335967,-0.5829375220172286
11-28-532-04306-569004,0,0,0,Holdout,NA,7.455272051337241,0.1527498217262986
11-28-532-04306-569005,1,1,1,Holdout,NA,36.86131305869181,0.7552452760328859
