"S","Y","H"
"realS",0.74,1.76529920623743
"realS",0.86,1.69022017183462
"realS",0.79,2.13848875920128
"realS",0.77,1.14582234320574
"realS",0.74,1.79790079613978
"realS",0.1,-0.443685027881305
"realS",0.21,-0.250623578488882
"realS",0.73,1.46085167520148
"realS",0.12,-0.556106037132933
"realS",0.82,2.65958492780908
"realS",0.32,0.199569495028452
"realS",0.82,12.006402293669
"realS",0.26,-0.132603929681048
"realS",0.27,-0.130737755927868
"realS",0.13,-0.610983582621431
"realS",0.07,-0.656634750167478
"realS",0.23,-0.183164084144302
"realS",0.77,1.99631525918347
"realS",0.23,-0.19617584314937
"realS",0.16,-1.02816546389053
"realS",0.93,3.94029784303231
"realS",0.04,-0.851165534783171
"realS",0.14,-0.756426834193483
"realS",0.88,3.8147773769851
"realS",0.82,4.26736807565092
"realS",0.16,-0.621809063147864
"realS",0.28,-0.0551538442118623
"realS",0.06,-1.28060108979559
"realS",0.1,-1.45716841361577
"realS",0.74,1.68233707126667
"realS",0.14,-0.468809710783581
"realS",0.2,-0.594588251169664
"realS",0.15,-0.877600767807342
"realS",0.18,-0.34864320248303
"realS",0.13,-0.599081853582386
"realS",0.12,-0.579572060612402
"realS",0.19,-0.392321759583429
"realS",0.13,-0.59374374444449
"realS",0.12,-0.500792675747296
"realS",0.23,-0.19632233166126
"realS",0.23,-0.19628973969237
"realS",0.09,-0.766585729050262
"realS",0.05,-1.05187557261928
"realS",0.14,-0.383983647223926
"realS",0.02,-0.642213162788421
"realS",0.82,1.8443582895213
"realS",0.7,0.650672572597679
"realS",0.1,-0.815362297436538
"realS",0.14,-0.675194386700098
"realS",0.84,1.6935166515244
"realS",0.08,-0.496781104863561
"realS",0.18,-0.370628812036341
"realS",0.73,1.06948734292163
"realS",0.1,-0.570484150640361
"realS",0.69,0.79521369372064
"realS",0.31,0.108405600083442
"realS",0.19,-0.241744621407284
"realS",0.12,-1.12580123696729
"realS",0.08,-0.836436042551796
"realS",0.91,4.33859256400519
"realS",0.85,6.06685449978039
"realS",0.81,3.88346706877257
"realS",0.92,4.32127556841672
"realS",0.23,-0.605157798785796
"realS",0.84,6.48520604929149
"realS",0.77,2.9548541761304
"realS",0.19,-1.0087965784504
"realS",0.15,-0.76464567195547
"realS",0.76,1.21784293181282
"realS",0.16,-0.375126332102842
"realS",0.17,-0.317129608966331
"realS",0.18,-0.306025238837486
"realS",0.77,1.34833709031543
"realS",0.08,-0.732487273157857
"realS",0.8,1.21604519868327
"realS",0.74,2.10734109453456
"realS",0.05,-0.641401353953267
"realS",0.05,-0.609476601286843
"realS",0.76,2.1551226526806
"realS",0.18,-0.550076129692332
"realS",0.07,-1.17559499757352
"realS",0.18,-0.264222705466674
"realS",0.86,2.11356423807444
"realS",0.11,-0.565188497836935
"realS",0.27,-0.0931067310320039
"realS",0.73,1.594856221476
"realS",0.84,1.57507540206918
"realS",0.33,0.113872482242695
"realS",0.19,-0.313081973899022
"realS",0.1,-1.0919819093434
"realS",0.17,-0.387077210156476
"realS",0.08,-0.993795172930662
"realS",0.14,-0.663703328882679
"realS",0.07,-0.671563905915171
"realS",0.15,-0.517141231329701
"realS",0.09,-0.877032622440415
"realS",0.11,-0.483367679452136
"realS",0.07,-0.886043651051334
"realS",0.13,-0.720817806333977
"realS",0.11,-0.678796261278895
"realS",0.18,-0.585074235717677
"realS",0.17,-0.288783653426786
"realS",0.15,-0.456624654136971
"realS",0.82,2.01392557339761
"realS",0.11,-0.705412255099676
"realS",0.13,-0.729870936386159
"realS",0.22,-0.346732141270145
"realS",0.16,-0.423161725629266
"realS",0.82,6.81638772933075
"realS",0.84,2.84987017753968
"realS",0.78,2.37272515118406
"realS",0.76,2.23476567149649
"realS",0.77,1.04108656259749
"realS",0.11,-0.56695249722109
"realS",0.77,2.27131380731388
"realS",0.08,-0.665930482834488
"realS",0.07,-0.868737229074056
"realS",0.79,6.23206769819612
"realS",0.82,2.46046686686938
"realS",0.15,-0.794976131160814
"realS",0.8,1.64994664968545
"realS",0.14,-0.447112523540011
"realS",0.81,2.12415021323032
"realS",0.09,-0.539966558920174
"realS",0.06,-1.1361930035895
"realS",0.77,1.43187057204118
"realS",0.11,-0.55283570933316
"realS",0.78,1.92507694527374
"realS",0.82,1.88572650256231
"realS",0.15,-0.598637429552144
"realS",0.25,-0.12535587102459
"realS",0.82,2.1792653030501
"realS",0.23,-0.260937657523071
"realS",0.11,-0.502117149974975
"realS",0.71,1.82417540342119
"realS",0.78,2.08733499476429
"realS",0.69,1.94014814756094
"realS",0.8,2.23900869535245
"realS",0.31,0.0671720611428989
"realS",0.84,2.80871363220006
"realS",0.84,5.79121632374724
"realS",0.81,3.80242326439113
"realS",0.15,-0.676793112726332
"realS",0.89,5.44624931345564
"realS",0.86,2.41081978412434
"realS",0.28,-0.0572483975747925
"realS",0.28,-0.0561421901676579
"realS",0.14,-1.16536197252651
"realS",0.16,-0.361142453212154
"realS",0.97,2.40677823257728
"realS",0.27,-0.168194288950652
"realS",0.88,2.52887209533119
"realS",0.13,-0.51806013818347
"realS",0.2,-0.275467625540486
"realS",0.76,1.11931093506036
"realS",0.86,4.18935086055559
"realS",0.09,-0.982337886250204
"realS",0.81,2.69372341582883
"realS",0.16,-1.13333698101655
"realS",0.18,-0.26964405668266
"realS",0.08,-0.965598981737878
"realS",0.2,-0.404804279690711
"realS",0.72,3.0480023790003
"realS",0.85,2.96616148822788
"realS",0.13,-0.592180328755652
"realS",0.74,1.25327084194279
"realS",0.15,-0.441455335448884
"realS",0.86,1.11898236915328
"realS",0.7,1.37988333244111
"realS",0.75,0.673622939807873
"realS",0.14,-0.447816613294805
"realS",0.71,1.35418655193937
"realS",0.82,1.17136197358064
"realS",0.15,-0.393497690554348
"realS",0.1,-0.324603120025153
"realS",0.84,1.73540280107832
"realS",0.06,-0.85387971961585
"realS",0.75,1.86675796808633
"realS",0.23,-0.262702803382617
"realS",0.73,2.00333710868255
"realS",0.26,-0.163477732468913
"realS",0.77,1.27882857100333
"realS",0.78,1.94343009985022
"realS",0.71,1.29385381661804
"realS",0.9,2.22533307273712
"realS",0.88,3.6221480724677
"realS",0.93,1.8544635875945
"realS",0.8,5.91597144338366
"realS",0.78,2.60547583503219
