"shrid2","lat","lon","Ycons","Ylowinc","Ymidinc","wave","D","R_PC1","R_PC1_scaled"
"11-28-532-04305-568945",19.855,78.315,1,0,1,"Holdout",NA,53.6870655943787,1.10100733522915
"11-28-532-04305-568946",19.905,78.315,1,1,1,"Holdout",NA,-51.9781374083915,-1.06596085900027
"11-28-532-04305-568947",19.875,78.335,1,0,0,"Holdout",NA,-13.1285453483193,-0.269238494772596
"11-28-532-04305-568948",19.875,78.375,1,0,0,"Holdout",NA,-35.8545899596967,-0.735301251990814
"11-28-532-04305-568949",19.835,78.365,1,0,0,"Holdout",NA,14.9637003105457,0.306873613256424
"11-28-532-04305-568950",19.825,78.405,0,0,0,"Holdout",NA,-27.4850363815386,-0.563659539408364
"11-28-532-04305-568951",19.805,78.395,0,0,0,"Holdout",NA,-25.1988658483691,-0.516775052451642
"11-28-532-04305-568952",19.795,78.385,1,0,0,"Holdout",NA,7.81231758964087,0.160213989647349
"11-28-532-04305-568953",19.795,78.405,0,0,1,"Holdout",NA,9.1307503051717,0.187252235726448
"11-28-532-04305-568954",19.795,78.425,1,0,0,"Holdout",NA,-41.6745103036004,-0.854655418923682
"11-28-532-04305-568955",19.795,78.445,0,1,1,"Holdout",NA,-32.2956692225985,-0.662315369941515
"11-28-532-04305-568956",19.795,78.465,1,0,0,"Holdout",NA,-20.4057615253238,-0.41847869447852
"11-28-532-04305-568957",19.755,78.455,0,0,0,"Holdout",NA,15.240161137824,0.312543235825045
"11-28-532-04305-568958",19.755,78.425,0,0,0,"Holdout",NA,-1.98963846105391,-0.0408032459182077
"11-28-532-04305-568959",19.775,78.415,0,0,0,"Holdout",NA,0.181432859166739,0.00372080139941757
"11-28-532-04305-568960",19.785,78.385,0,0,1,"Holdout",NA,35.0282063542384,0.718353884850338
"11-28-532-04305-568961",19.755,78.375,0,0,0,"Holdout",NA,28.1300936332266,0.576888289348194
"11-28-532-04305-568962",19.725,78.355,1,0,0,"Holdout",NA,-27.6328316532884,-0.566690505554627
"11-28-532-04305-568963",19.715,78.385,0,0,1,"Holdout",NA,42.401227051967,0.869558831165108
"11-28-532-04305-568964",19.725,78.415,0,0,1,"Holdout",NA,14.4916815040022,0.297193513168686
"11-28-532-04305-568965",19.745,78.415,1,0,0,"Holdout",NA,-45.6621663299616,-0.936433748336682
"11-28-532-04305-568966",19.725,78.455,0,0,0,"Holdout",NA,-22.5090742089492,-0.461613156519123
"11-28-532-04305-568967",19.755,78.475,0,0,0,"Holdout",NA,-19.7214545473792,-0.404445016274579
"11-28-532-04305-568968",19.745,78.495,1,0,0,"Holdout",NA,-12.8454328901066,-0.263432461424788
"11-28-532-04305-568969",19.725,78.485,1,0,1,"Holdout",NA,10.6402297690633,0.218208443589975
"11-28-532-04305-568970",19.715,78.465,0,0,1,"Holdout",NA,-35.8889527980786,-0.736005960596115
"11-28-532-04305-568971",19.715,78.445,0,0,0,"Holdout",NA,-34.9937939708136,-0.717648160181762
