"S","Y","H"
"Ssynth",0.59,0.896933577717283
"Ssynth",0.82,1.4549659573442
"Ssynth",0.72,1.45618818403349
"Ssynth",0.75,1.12501104453876
"Ssynth",0.7,1.28839765924433
"Ssynth",0.09,-0.833778330666602
"Ssynth",0.23,-0.361337875679903
"Ssynth",0.74,1.43161506231088
"Ssynth",0.14,-0.755319340868555
"Ssynth",0.75,1.48296162439075
"Ssynth",0.32,-0.0886850100131284
"Ssynth",0.78,1.33417182198829
"Ssynth",0.18,-0.48089369432068
"Ssynth",0.26,-0.282176625044559
"Ssynth",0.11,-1.01119043744486
"Ssynth",0.05,-1.06644744816025
"Ssynth",0.23,-0.353888899369417
"Ssynth",0.89,1.79064055198132
"Ssynth",0.29,-0.159042886981089
"Ssynth",0.2,-0.414976674636261
"Ssynth",0.94,1.8577144984887
"Ssynth",0.14,-0.68474045323851
"Ssynth",0.15,-0.622790162780677
"Ssynth",0.92,1.59694071026352
"Ssynth",0.83,1.54692073699341
"Ssynth",0.3,-0.146872692551865
"Ssynth",0.31,-0.112617745271446
"Ssynth",0.21,-0.39853254890634
"Ssynth",0.13,-0.724800106945894
"Ssynth",0.86,1.90493897085356
"Ssynth",0.16,-0.552114066133102
"Ssynth",0.18,-0.491370706856774
"Ssynth",0.15,-0.578770054424426
"Ssynth",0.28,-0.215386258722978
"Ssynth",0.2,-0.522844982049475
"Ssynth",0.11,-0.800459793231623
"Ssynth",0.23,-0.439517029376618
"Ssynth",0.1,-1.02958823989393
"Ssynth",0.13,-0.653341690905333
"Ssynth",0.22,-0.352263801663103
"Ssynth",0.19,-0.523495333461482
"Ssynth",0.05,-1.24559895107302
"Ssynth",0.04,-1.25114233997324
"Ssynth",0.1,-0.774851381799054
"Ssynth",0.02,-1.03236176495638
"Ssynth",0.87,1.57153225683696
"Ssynth",0.69,0.78930445395892
"Ssynth",0.15,-0.677573617632146
"Ssynth",0.12,-0.83710041246163
"Ssynth",0.71,1.3682172034766
"Ssynth",0.06,-0.862389658689509
"Ssynth",0.11,-0.791948792121869
"Ssynth",0.64,0.989985704004483
"Ssynth",0.06,-1.22945387574917
"Ssynth",0.78,1.62909852019728
"Ssynth",0.33,-0.053997340042049
"Ssynth",0.14,-0.710820508264785
"Ssynth",0.12,-0.780035879168274
"Ssynth",0.09,-0.938375787582873
"Ssynth",0.88,2.07236701568415
"Ssynth",0.82,2.17656187398399
"Ssynth",0.84,1.92181021327694
"Ssynth",0.91,2.29618507467252
"Ssynth",0.2,-0.566176780667815
"Ssynth",0.85,2.13388514821659
"Ssynth",0.84,2.17612011752208
"Ssynth",0.08,-0.671706726744168
"Ssynth",0.27,-0.251374556049121
"Ssynth",0.21,-0.452495594817372
"Ssynth",0.87,1.51569829235719
"Ssynth",0.18,-0.471018129285944
"Ssynth",0.16,-0.557836815202607
"Ssynth",0.11,-0.799463528772747
"Ssynth",0.77,1.38296387095682
"Ssynth",0.16,-0.576094649363785
"Ssynth",0.79,1.40398571575495
"Ssynth",0.84,1.64380913868154
"Ssynth",0.15,-0.651387042183855
"Ssynth",0.12,-0.855011332554536
"Ssynth",0.79,1.59535368968028
"Ssynth",0.18,-0.469531369002597
"Ssynth",0.01,-1.3824652053354
"Ssynth",0.19,-0.436430073534525
"Ssynth",0.84,1.7566325379948
"Ssynth",0.11,-0.911444158275979
"Ssynth",0.19,-0.618812532805692
"Ssynth",0.79,1.25612568863946
"Ssynth",0.82,1.78275094704342
"Ssynth",0.15,-0.726672335002038
"Ssynth",0.3,-0.157021111971833
"Ssynth",0.1,-0.9108321212186
"Ssynth",0.3,-0.153044526865012
"Ssynth",0.17,-0.595952929146728
"Ssynth",0.18,-0.588882091574917
"Ssynth",0.18,-0.515822762739579
"Ssynth",0.14,-0.608621619841152
"Ssynth",0.13,-0.63780567710373
"Ssynth",0.13,-0.891490121601173
"Ssynth",0.07,-0.953183893877684
"Ssynth",0.14,-0.678713236629946
"Ssynth",0.04,-1.13615662906785
"Ssynth",0.19,-0.504757419407885
"Ssynth",0.15,-0.651737183285241
"Ssynth",0.19,-0.514367719560063
"Ssynth",0.82,1.62827643202341
"Ssynth",0.05,-0.957533361142293
"Ssynth",0.15,-0.763488629606863
"Ssynth",0.21,-0.51596755600391
"Ssynth",0.16,-0.61839822801497
"Ssynth",0.82,1.9577707286446
"Ssynth",0.88,1.74038325384773
"Ssynth",0.84,1.89597950983483
"Ssynth",0.79,1.38920935695419
"Ssynth",0.68,0.926671147627774
"Ssynth",0.68,1.18683833055191
"Ssynth",0.83,1.73813681143912
"Ssynth",0.05,-0.966271958639215
"Ssynth",0.15,-0.613248766759389
"Ssynth",0.81,1.52856716468708
"Ssynth",0.84,1.71417861265341
"Ssynth",0.2,-0.566176780667815
"Ssynth",0.83,1.41992169809204
"Ssynth",0.16,-0.666730600171622
"Ssynth",0.85,1.56322989183347
"Ssynth",0.07,-0.884949385808391
"Ssynth",0.12,-0.819280580875516
"Ssynth",0.75,1.78451053326613
"Ssynth",0.1,-0.892289440034611
"Ssynth",0.83,1.64611967258785
"Ssynth",0.81,1.48311324921561
"Ssynth",0.14,-0.638940474955738
"Ssynth",0.3,-0.140212707070614
"Ssynth",0.85,1.6431885921476
"Ssynth",0.2,-0.635857645546398
"Ssynth",0.09,-0.938375787582873
"Ssynth",0.74,1.5151637705676
"Ssynth",0.7,1.27262599421862
"Ssynth",0.76,1.53681118086045
"Ssynth",0.79,1.59271939382869
"Ssynth",0.37,0.072666162811783
"Ssynth",0.91,1.99814611174653
"Ssynth",0.77,1.53844330046923
"Ssynth",0.89,1.82847582953072
"Ssynth",0.14,-0.831969763585238
"Ssynth",0.89,1.82822475227754
"Ssynth",0.88,1.79501265985432
"Ssynth",0.28,-0.217152138579457
"Ssynth",0.2,-0.469208295047454
"Ssynth",0.07,-1.11699812411793
"Ssynth",0.07,-0.901014548882793
"Ssynth",0.74,1.32572453010785
"Ssynth",0.15,-0.724302536192835
"Ssynth",0.88,1.65615914471443
"Ssynth",0.12,-0.758416494389821
"Ssynth",0.19,-0.485055713783363
"Ssynth",0.87,1.72530008858452
"Ssynth",0.85,1.62679111082165
"Ssynth",0.23,-0.379754850894379
"Ssynth",0.95,1.68055864564986
"Ssynth",0.21,-0.468763717978597
"Ssynth",0.13,-0.604524453116042
"Ssynth",0.11,-0.85578152966439
"Ssynth",0.15,-0.651737183285241
"Ssynth",0.67,1.23339527578056
"Ssynth",0.79,1.52513148597882
"Ssynth",0.13,-0.745425064345256
"Ssynth",0.69,1.2936139394721
"Ssynth",0.12,-0.780539835726194
"Ssynth",0.93,1.40669759209985
"Ssynth",0.66,1.14148761941969
"Ssynth",0.75,1.11262933849392
"Ssynth",0.12,-0.845954181253714
"Ssynth",0.84,1.67828092006364
"Ssynth",0.71,1.33708593761063
"Ssynth",0.21,-0.486429025584242
